Stratigraphic Name,Stratno,Previous Name,Previous Name Stratno,Rank, Status ,Parent Name,Parent Stratno, Chemical Parent Name , Chemical Parent Stratno ,Top Minimum Age Name, Top Minimum Age (Ma) , Top Minimum Age Error (Ma), Top Minimum Age Method ,Base Maximum Age Name, Base Maximum Age (Ma) , Base Maximum Age Error (Ma) , Base Maximum Age Method , Minimum Thickness (m) , Maximum Thickness (m) , Type Section State , First ref as on form , Def ref as on form , Reserved by , Resdate , Approved by , Approved date ,General Comments , Lithology Description ,Primary Lithology Group, Secondary Lithology Group , Tectonic Setting , Intrusive , Granite Type
Gneudna Formation,7463,,,"Formation, beds",Formal,,,,,Frasnian,,,,Givetian,,,,,1092,WA,44537,45015,,,,,See also Lexicon. SG50-1. Max. thickness: 2700ft. See also misspelt Gneuda Formation.  Includes youngest known thelodonts in Australia and possibly the world (from 1993 ref). Diverse macrovertebrate fauna. Dolomite is potentially a hydrocarbon reservoir.,"Interbedded carbonate rocks and siltstone with minor evaporites; calcarenite, quartzwacke, calcilutite and calcareous siltstone, generally very fossiliferous.",sedimentary carbonate,sedimentary siliciclastic,,N,
Gnewing Granodiorite,21872,,,"Formation, beds",Formal,,,Paperbark Supersuite,31788,Paleoproterozoic,1850,,,Paleoproterozoic,1865,,,,,,44694,,Sheppard S.,8-Oct-94,,,Mount Ramsey and/or Gordon Downs 1:250 000 sheet area. In the Hooper Complex and Lamboo Complex western zone. Age: 1865-1850Ma.,Coarsely porphyritic biotite hornblende granodiorite and tonalite with mafic inclusions.,igneous felsic intrusive,,,Y,
Gnowangerup-Fraser Dolerite,80596,Gnowangerup-Fraser Dyke Suite,78592,"Formation, beds",Reserved,,,Marnda Moorn Suite,80594,Mesoproterozoic,1202,10,isotopic,Mesoproterozoic,1218,10,isotopic,,,,,,"Wingate, M.T.D., Spaggiari, C.V. (GSWA)",9-Aug-18,,,"Dolerite and gabbro dykes; trending east-northeast to northeast; mostly interpreted from aeromagnetic data. See also Gnowangerup dyke swarm, Fraser dyke swarm, Fraser dykes and Gnowangerup Dyke Swarm. One of four mafic dyke suites cutting the southern and southeastern Yilgarn Craton. Part of the c.1210 Ma Marnda Moorn Large Igneous Province. Ages range from 1218+/-10 and 1202+/-10 Ma. See also GSWA ENS: Wingate, MTD and Spaggiari, CV (partial report), Gnowangerup¿Fraser Dolerite (P_-MMgf-od): Geological Survey of Western Australia, WA Geology Online, Explanatory Notes extract, viewed 09 August 2018, <www.dmp.wa.gov.au/ens>.","Typically dolerite and gabbro, minor quartz diorite.",igneous mafic intrusive,,,Y,
Gnows Nest Granodiorite,78990,,,"Formation, beds",Formal,,,Thundelarra Supersuite,78988,Mesoarchean,2951,,,Mesoarchean,2958,,inferred,,,,70769,,"Ivanic, T. (GSWA)",7-Jan-15,,,"Used in Murchison Domain updates in 2015. Named after Gnows Nest Range, 28deg 36'S, 116deg51'E. Type area 5 km north of Golden Grove mine. Possibly subvolcanic to Scuddles Member. Probably includes rocks previously interpreted as meta-arkosic and called Shadow Well Formation.","Metamorphosed granodiorite to tonalite with K-feldspar phenocrysts up to 8 mm in 4-6 mm matrix. A separately-mapped sub-unit is similar, but also contains hornblende phenocrysts.",meta-igneous felsic intrusive,,,Y,
Goat Dam Monzogranite,30178,,,"Formation, beds",Formal,,,,,Archean,,,,Archean,,,,,,,43222,,,,,,Roe 1:100 000 sheet 3436.,Equigranular biotite monzogranite; High Ca granite,igneous felsic intrusive,,,Y,
Gobbos Granodiorite,38758,,,"Formation, beds",Formal,,,Emu Pool Supersuite,68766,Paleoarchean,3313,4,"isotopic, U/Pb-Pb/Pb ion probe",Paleoarchean,3314,4,,,,,24025,,,,,,,"Biotite granodiorite and monzogranite with minor hornblende; medium-grained, seriate to locally porphyritic, metamorphosed.",igneous felsic intrusive,,,Y,
Godfrey beds,7474,Godfrey Beds,7473,"Formation, beds",Informal,Liveringa Group,25997,,,Late Permian,,,,Late Permian,,,,,,WA,45153,45153,,,,,"Originally of McWhae et al. (1958); Casey and Wells (1964). Included as in informal unit in the Liveringa Group on the advice of GSWA (R.Hocking) Oct 2008.  Probable correlative of Hardman Formation (Towner & Gibson, 1983)","Paralic, cross bedded and ripple marked, thinly bedded fine and medium grained sandstone with minor siltstone; abundant trace fossils and burrowings with rare plant macrofossils; basal coarse sandstone and conglomerate in places",sedimentary siliciclastic,argillaceous detrital sediment,,N,
Gogo Formation,7476,,,"Formation, beds",Formal,,,,,Frasnian,,,,Givetian,,,,,430,WA,44403,45153,,,,,See also Lexicon. 2008 - fossil fish found in Gogo Formation by John Long and Gavin Young with fossil unborn baby embryo inside with umbilical cord. Source rock for Nullara and Yellow Drum Formation's oil.,Fossiliferous shallow marine reef complex basin facies black to light grey shale and siltstone with thin lenses of limestone and layers with abundant limestone concretions.,argillaceous detrital sediment,sedimentary carbonate,,N,
Golconda Formation,23622,,,"Formation, beds",Formal,Luke Creek Group,23744,,,Archean,,,,Archean,,,,,,,41885,,"K.P.Watkins, A.H.Hickman, R.Davy",21-Oct-86,,,Probably obsolete.,"BIF (consisting of quartz, chert, hematite and magnetite in units <10m thick) and interlayered mafic volcanic rocks.",sedimentary non-carbonate chemical or biochemical,igneous mafic volcanic,,N,
Golden Bar Sill,7489,,,"Formation, beds",Informal,Coolgardie Group,4536,,,,,,,,,,,,,,42221,,,,,,,,,,,Y,
Golden Cities Granodiorite,79348,,,"Formation, beds",Reserved,,,,,,,,,,,,,,,,,,"De Paoli, M. (GSWA)",25-Feb-16,,,Lies within the Bardoc 1:100K map sheet area. Named after mining camp within the granodiorite extent and referenced in Cassidy et al (2002; AMIRA P482/MERIWA M281). To be published = GSWA digital release 2016.,Fine- to medium-grained granodiorite.,igneous felsic intrusive,,,Y,
Golden Eagle Orthogneiss,37550,,,"Formation, beds",Formal,,,Mount Billroth Supersuite,68670,Mesoarchean,3178,3,,Mesoarchean,3199,,,,,,50287,,"Bagas, L.",1-Oct-02,,,Nullagine and Noreena Downs 1:100 000 sheet areas,"Layered orthogneiss derived from tonalite, granodiorite, monzogranite and pegmatite; layers and lenses of amphibolite and ultramafic schist; foliated granite, granitic gneiss, mingled metasedimentary and metavolcanic xenoliths and granite",meta-igneous felsic intrusive,meta-igneous mafic intrusive,,Y,
Golden Empress Gabbro,80116,,,"Formation, beds",Informal,Bounty Igneous Complex,78349,,,Neoarchean,,,inferred,Neoarchean,,,inferred,,500,,71212,,,,,,,"Massive, medium and even-grained gabbro that is sporadically pyroxene-phyric.",igneous mafic intrusive,,,Y,
Golden Gate Siltstone,7497,Golden Gate Formation,7496,"Formation, beds",Formal,Carr Boyd Group,3663,,,Stenian,1158,123,"isotopic, Rb/Sr",Ectasian,,,,,60,,44363,,,,,,,Mudstone and thinly bedded fine-grained sandstone.,argillaceous detrital sediment,sedimentary siliciclastic,,N,
Golden Grove Member,78987,Golden Grove Formation,40545,"Member, phase",Formal,Gossan Hill Formation,78983,,,Mesoarchean,,,,Mesoarchean,2963,6,isotopic,,,,70769,,"Ivanic, T. (GSWA)",7-Jan-15,,,"To be used in Murchison Domain updates in 2015. Named after Golden Grove Mine, 28deg45'S, 116deg58'E. Type area: Gossan Hill 28deg48'S 116deg58'E.Conformably overlying Gossan Valley Member and underlying Scuddles Member.","Rhyodacite, rhyolite and laminated felsic volcaniclastic rocks; host to significant massive sulphide horizons; metamorphosed.",igneous felsic volcanic,meta-igneous felsic volcanic,,N,
Golden Mile Dolerite,26586,,,"Formation, beds",Formal,Black Flag Group,28372,Great Boulder Suite,77865,Neoarchean,2660,100,"isotopic, Rb/Sr",Neoarchean,2675,6,"isotopic, U/Pb",600,940,WA,68217,,,,,,,"A differentiated (micro-) gabbroic sill, the main host to Kalgoorlie-Boulder gold mineralisation. Upper & lower chilled margins, a lower ultramafic layer, several gabbroic units, iron-rich microgabbro, central granophyric unit.",igneous mafic intrusive,,,Y,
Golden Ridge porphyry,7505,,,"Formation, beds",Informal,,,,,,,,,,,,,,,,41249,,,,,,,,,,,U,
Golden Valley Conglomerate,35674,,,"Formation, beds",Informal,Merougil Group,73921,,,Archean,,,,Archean,,,,,,,23142,,,,,,,Rounded mafic rudite.,,,,N,
Goldwyer Formation,25928,,,"Formation, beds",Formal,,,,,Darriwilian,,,biozone,Darriwilian,,,biozone,,750,WA,30110,45153,,,,,Excellent hydrocarbon source potential. Fossiliferous. Well developed hydrocarbon source horizons with efficient Carribuddy seal.,"Siltstone, sandstone, shale; minor dolomite, limestone.",sedimentary siliciclastic,sedimentary carbonate,,N,
Gombugurra Rhyolite,26587,,,"Formation, beds",Formal,Cassidy Group,27737,,,Stenian,,,,Stenian,,,,,,,30944,,,,,,Bentley Basin.,"Dark-grey, feldspar-phyric rhyolite with very fine-grained groundmass; massive, flow-banded or spherulitic.",igneous felsic volcanic,,,N,
Goobaieri Formation,7530,,,"Formation, beds",Formal,Fitzmaurice Group,6698,,,Mesoproterozoic,1150,,,Mesoproterozoic,1250,,,,615,NT,32310,48938,,,,,Fitzmaurice Basin.,"Quartz sandstone, siltstone, shale.",sedimentary siliciclastic,,,N,
Gooche Gneiss,36003,,,"Formation, beds",Formal,,,Moorarie Supersuite,33440,Statherian,1776,8,"isotopic, U/Pb-Pb/Pb ion probe",Orosirian,1830,,,,,WA,50292,61262,Sandi Occhipinti - Curtin University,23-May-01,,,"Named after Gooche Well on Mt Phillips Sheet. Series of small inliers faulted against Pooranoo Metamorphics, and inclusions in Durlacher Supersuite granites. The 1776 +/- 8 Ma date is said to be igneous crystallisation age of the precursor granite (Sheppard et al. 2005).","Strongly foliated, porphyritic metagranodiorite and metamonzogranite, and augen gneiss.",meta-igneous felsic intrusive,high grade metamorphic rock,,Y,
Goodia Monzogranite,67862,,,"Formation, beds",Formal,,,,,Archean,,,,Archean,,,,,,,65258,,,,,,,"Equigranular, fine- to medium-grained biotite monzogranite to granodiorite.",igneous felsic intrusive,,,Y,
Googhenama Formation,7555,Bocrabee Sandstone,27344,"Formation, beds",Formal,Tarcunyah Group,31872,,,Cryogenian,,,,Tonian,850,,inferred,500,700,,43055,,,,,,Also supersedes Googhenama Conglomerate.,"Interbedded fine- to coarse-grained, light pink to purple coloured sandstone, commonly quartz-rich with ripple marks; granular to boulder conglomerate, lenticular, commonly matrix-supported, quartz-pebble rich or polymictic.",sedimentary siliciclastic,,,N,
Goonetarra Granodiorite,79009,,,"Formation, beds",Formal,,,Rothsay Suite,79002,Neoarchean,,,,Neoarchean,2749,4,"isotopic, U/Pb-Pb/Pb ion probe",,,,70226,,"Ivanic, T. (GSWA)",13-Jan-15,,,"Used in Murchison Domain updates in 2015. Named after Goonetarra Well, Yalgoo1:250 geol. sheet area. 28deg30'S 116deg42'E. Type area: immediately north of Goonetarra Well. Intrusive into top-Norie Group and base-Polelle Group supracrustal rocks along a lineated contact.",Metagranodiorite to tonalite with monzogranitic components; locally with well developed linear fabric,igneous felsic intrusive,,,Y,
Goongarrie Monzogranite,7569,,,"Formation, beds",Formal,,,,,Neoarchean,,,,Neoarchean,,,,,,,41786,,,,,,Reserved as Goongarrie Adamellite.,"Locally K-feldspar-phyric, biotite monzogranite; deformed contacts, weak to moderate foliation. High Ca granite.",igneous felsic intrusive,,,Y,
Gooragoora Formation,34910,Gooragoora Sandstone Member,7582,"Formation, beds",Formal,Edmund Group,34906,,,Calymmian,1462,,"inferred, lithostratigraphic correlation",Statherian,1620,,"inferred, lithostratigraphic correlation",150,250,WA,22905,24183,,,,,"Incorporates the previous Wannery, Chubilyer, Weedoddie and Yeelingee Members of Daniels (1970) and the lower part of the Jillawarra Formation (Chuck, 1984)? Unclear if this applies to Gooragoora Fm. or to Blue Billy Fm.","Medium- to thick-bedded, fine to coarse-grained sandstone and siltstone; minor conglomerate, dolostone and dolomitic siltstone.",sedimentary siliciclastic,sedimentary carbonate,,N,
"Gooragoora Formation, Blue Billy Formation, Cheyne Springs Formation",74907,,,Subgroup,Informal,Edmund Group,34906,,,Calymmian,,,,Calymmian,,,,,,,,,,,,,Informal unit for the Surface Geology of WA 1:1 million scale dataset.  Equivalent to Depositional Package 2 of the Edmund Group in the WA 500K Solid Geology GIS (2008).,Siltstone and mudstone; sandstone and dolostone; locally sulphidic,sedimentary siliciclastic,sedimentary carbonate,,N,
Goose Hole Group,23629,,,"Group, Suite",Formal,,,,,Late Cambrian,,,inferred,Middle Cambrian,,,biozone,,700,,41840,,P.E.Playford,16-May-83,,,"525 Ma [basis for numerical age unclear. Timescale unclear. Reference from 1999] . Includes: Negri Subgroup, Elder Subgroup. Ord Basin.","Limestone, sandstone, siltstone, mudstone, minor chert.",sedimentary siliciclastic,sedimentary carbonate,,N,
Gooseneck Member,23630,,,"Member, phase",Formal,Burt Range Formation,3168,,,Tournaisian,,,,Tournaisian,,,,,,WA,40792,40792,"Lee, J.",23-Sep-85,,,,,,,,N,
Gora Hill Suite,79199,,,"Group, Suite",Formal,,,Recherche Supersuite,78595,Ectasian,1280,,,Ectasian,1330,,,,,,70182,,"Spaggiari, C. (GSWA)",23-Jun-15,,,"Map Sheet=Malcolm SI51-7. Nearest Town=Esperance. Brief description=Series of syenogranitic, monzogranitic,and granodioritic gneisses. Part of Recherche Supersuite. Published in 2015 in Geological Survey of Western Australia Report 150, p33 etc.","Series of syenogranitic, monzogranitic,and granodioritic gneisses.",meta-igneous felsic intrusive,,,Y,
Gordons Gorge Granite,31791,Gordons Gorge,29798,"Formation, beds",Formal,,,Paperbark Supersuite,31788,Orosirian,1850,,,Orosirian,1865,,,,,,43853,,,,,,Lissadell 1:250 000 sheet area (east Kimberley region). Age updated by I.Sweet.,Coarse-grained porphyritic biotite(-hornblende) monzogranite and syenogranite; rapakivi-like texture.,igneous felsic intrusive,,,Y,
Gorge Creek Group,27160,Gorge Creek Formation,7612,"Group, Suite",Formal,De Grey Supergroup,69685,,,Mesoarchean,2940,,inferred,Mesoarchean,3050,,inferred,,8000,WA,30485,31853,"Hickman A.H., Lipple A.L.",15-Jan-75,WA SNSC,6-Jan-75,"Redefined by Van Kranendonk et al (2004).  Age: 3.27Ga. Mallina Basin. Reassigned to De Grey Supergroup from Pilbara Supergroup and including the new unit, Farrel Quartzite (GSWA 03/06).","Chert, ferruginous chert, banded iron formation, jaspilite; minor siltstone, shale, sandstone, pebbly sandstone, quartzite, polymictic conglomerate, felsic volcaniclastic rock, basalt, ultramafic schist, mafic schist",sedimentary non-carbonate chemical or biochemical,sedimentary siliciclastic,,N,
Gossan Hill Formation,78983,Gossan Hill Group,23633,"Formation, beds",Formal,Murchison Supergroup,13501,,,Mesoarchean,2947,,inferred,Mesoarchean,2963,,inferred,,,WA,70769,,"Ivanic, T. (GSWA)",7-Jan-15,,,"Used in Murchison Domain updates in 2015. Named after Gossan Hill (?mine), Badja 1:100k sheet area. Type area Gossan Hill 28deg 45'S 116deg 58'E. Unconformably overlain by probably Polelle Group units and intruded by Warriedar Suite mafic-ultramafic intrusive units.",Felsic volcanic and volcaniclastic rocks; rhyolitic to dacitic in composition; locally with economic massive sulphide mineralization; metamorphosed.,igneous felsic volcanic,,,N,
Gossan Valley Member,78984,Gossan Valley Formation,40546,"Member, phase",Formal,Gossan Hill Formation,78983,,,Mesoarchean,,,,Mesoarchean,2959,5,isotopic,,,,70769,,"Ivanic, T. (GSWA)",7-Jan-15,,,"To be used in Murchison Domain updates in 2015.  Type area Gossan Hill, Badja 1:100k sheet area. Intruded by Gnows Nest Granodiorite at the base and conformably overlain by Golden Grove Member.",Quartz-porphyritic rhyolite and felsic volcaniclastic rocks; metamorphosed,igneous felsic volcanic,meta-igneous felsic volcanic,,N,
Government Dam member,80208,Government Dam Grit,80939,"Member, phase",Informal,,,,,Archean,,,,Archean,,,,,,,71166,,,,,,"[An informal, probable company name from the Kanowna gold camp]",,,,,N,
Goyder Formation,7646,,,"Formation, beds",Formal,Pertaoorrta Group,15091,,,Late Cambrian,,,biozone,Middle Cambrian,511,20,"isotopic, U/Pb-Pb/Pb ion probe",90,600,NT,48838,48863,,,,,"Gradationally related to Petermann Sandstone/Deception Siltstone/Cleland Sandstone/Shannon Formation succession below it. Minimum age: Payntonian (~491-488 Ma) based on palynology and trilobites (NTGS Record 2018-010, p iii, p17). Younger radiometric age (505+/-6 Ma) is a maximum depositional age for a sample from the central part of the basin (Henbury) taken from well below the contact with the overlying Pacoota Sandstone and 100s of metres above the contact with the Petermann Sandstone.",Silty sandstone with minor siltstone; fossiliferous and stromatolitic dolostone with minor limestone.,sedimentary siliciclastic,sedimentary carbonate,,N,
Granites-Tanami Orogen granitic unit 80976,80976,,,"Formation, beds",Unnamed,,,,,Paleoproterozoic,,,inferred,Paleoproterozoic,,,inferred,,,,72034,,,,,,In refID 72034. (GSWA (2016). 1:500 000 Interpreted Bedrock Geology of Western Australia. Granites-Tanami Orogen. Variation of this unit used in subsurface unit interpreted by Songfa Liu for the basement geology of the Exploring for the Future area (stratno 80977).,Biotite monzogranite.,igneous felsic-intermediate intrusive,,,Y,
Granites-Tanami Orogen metamorphosed igneous felsic unit 80978,80978,,,"Group, Suite",Unnamed,,,,,Neoarchean,,,inferred,Neoarchean,,,inferred,,,,72034,,,,,,In refID 72034. (GSWA (2016). 1:500 000 Interpreted Bedrock Geology of Western Australia. Granites-Tanami Orogen. See also variation used in subsurface unit interpreted by Songfa Liu for the basement geology of the Exploring for the Future area stratno 80979.,Foliated biotite-muscovite-quartz-plagioclase-K-feldspar orthogneiss with thin leucocratic quartz--feldspar interlayers.,meta-igneous felsic,,,Y,
Granitoid Gneiss,31107,,,"Formation, beds",Informal,,,,,,,,,,,,,,,,43478,,,,,,,,,,,Y,
Granny Smith Granodiorite,34939,,,"Formation, beds",Formal,,,,,Neoarchean,,,,Neoarchean,2665,4,,,,,22855,,,,,,See also Granny Smith diorite. This age may be the age of zircon xenocrysts derived from the turbidites intruded by the granodiorite.,,,,,Y,
Grant Group,7696,,,"Group, Suite",Formal,,,,,Sakmarian,,,biozone,Asselian,,,biozone,300,2500,WA,42613,64971,,,,,"Redefined by Crowe and Towner (1976); redefined again by Apak and Backhouse (1998) reducing the Group to what was the upper Grant Group interval. Retains Hoya, Calytrix and Clianthus Formations of Redfern and Millward (1994). Lower Grant Group has been renamed Reeves Formation. See REFID: 64971. Age from rare macrofossils and palynoflora. Produces oil in the Boundary oil field.","Shallow marine to fluvial, and possibly partly glacial, cross-bedded fine to very coarse quartz sandstone, laminated micaceous sandstone, siltstone, mudstone, and minor conglomerate, fossiliferous; wood fragments and bioturbated in places.",sedimentary siliciclastic,argillaceous detrital sediment,,N,
Grass Flat Gabbro,76189,,,"Formation, beds",Formal,,,,,Neoarchean,2796,6,"isotopic, U/Pb-Pb/Pb ion probe",Neoarchean,2820,,,,,,67129,,"Riganti, A.",24-Oct-11,,,"Sample dating published in: Wingate, MTD, Kirkland, CL, Riganti, A and Wyche, S., 2011, 185990: metagabbro, Grass Flat Bore; Geochronology Record 868: Geological Survey of Western Australia, 4p.",Mafic intrusion.,igneous mafic intrusive,,,Y,
Grave Dam member,80209,Grave Dam Grit,35668,"Member, phase",Informal,,,,,Archean,,,,Archean,2682,13,"isotopic, U/Pb-Pb/Pb ion probe",,,,71166,,,,,,"[An informal, probable company name from the Kanowna gold camp]. See also Gravedam Grit.",,,,,N,
Great Boulder Suite,77865,,,"Group, Suite",Reserved,,,,,Neoarchean,,,,Neoarchean,,,,,,,,,"Hall, C. (GSWA)",31-May-13,,,"Intrusive mafic sills, dolerite to gabbro; commonly differentiated; c.2680 Ma. Flat REE trend (chondrite normalised); includes Golden Mile Dolerite and Condenser Dolerite. To be published = Geological Survey of Western Australia East Yilgarn update 2013-14, digital product.",Dolerite to gabbroic sills.,igneous mafic intrusive,,,Y,
Grebe Sandstone Member,7742,,,"Member, phase",Formal,Hibernia Formation,27432,,,Lutetian,,,,Ypresian,,,,,,NT,41532,42442,,,,,"Also previously referred to as Grebe Formation, Grebe Sands, Grebe Sandstone, Grebe Marl and Grebe Marl Member. Eocene. Grebe Sandstone Member reappears in Geology and mineral resources of the Northern Territory (2013) as basal Member of Hibernia Formation.","Sandstone, minor marl and limestone.",sedimentary siliciclastic,sedimentary carbonate,,N,
Greenbushes Pegmatite,29944,Greenbushes pegmatite,7761,"Formation, beds",Formal,,,,,Archean,,,,Archean,2527,,,,,,43052,,,,,,,,,,,Y,
Greenfields Gabbro,77864,,,"Formation, beds",Formal,,,,,Neoarchean,2650,,inferred,Neoarchean,2726,,inferred,,,,70153,,"Hall, C. (GSWA)",31-May-13,,,"Differentiated gabbro; cumulate to subophitic textures; hornblende-plagioclase-actinolite; metamorphosed. Sill at the top of the Coolgardie Subgroup. To be published = Geological Survey of Western Australia East Yilgarn update 2013-14, digital product.",Differentiated gabbro; cumulate to subophitic textures; hornblende-plagioclase-actinolite; metamorphosed.,igneous mafic intrusive,,,Y,
Greenmont Basalt,77857,,,"Formation, beds",Formal,Coolgardie Subgroup,77855,,,Neoarchean,2699,,inferred,Neoarchean,2726,,inferred,,,,70153,,"Hall, C. (GSWA)",31-May-13,,,"Basaltic rock; vesicular, with rare pillows; metamorphosed; spinifex-like texture defined by metamorphic actinolite. Kalgoorlie Terrane, Eastern Goldfields Superterrane.","Basaltic rock; vesicular, with rare pillows; metamorphosed; spinifex-like texture defined by metamorphic actinolite",meta-igneous mafic volcanic,,,N,
Greenough Sandstone,7766,,,"Formation, beds",Formal,Chapman Group,25841,,,Early Jurassic,,,,Early Jurassic,,,,,95,WA,34134,36293,,,,,,"Mottled red and white, medium- to coarse-grained argillaceous sandstone; siltstone, shale, claystone and conglomerate lenses.",sedimentary siliciclastic,argillaceous detrital sediment,,N,
Greensleeves Formation,74808,Gabanintha Formation,23604,"Formation, beds",Formal,Polelle Group,74804,,,Neoarchean,2734,4,"isotopic, U/Pb-Pb/Pb ion probe",Neoarchean,2761,4,"isotopic, U/Pb-Pb/Pb ion probe",,5000,,64891,,"Van Kranendonk, M. (GSWA)",17-Sep-08,,,"With Yaloginda Formation, replaces Gabanintha Formation. Geological province: Murchison Domain.","Andesitic, rhyolitic, dacitic volcanic and volcaniclastic rocks; widely intruded by layered mafic-ultramafic sills; weakly metamorphosed",igneous felsic volcanic,metasedimentary,,N,
Greenvale Porphyry,31879,Greenvale Monzogranite,21909,"Formation, beds",Formal,,,Paperbark Supersuite,31788,Orosirian,1850,,,Orosirian,1865,,,,,,43863,,,,,,"Bow, Mount Remarkable 1:100k, east Kimberley region. Paperbark Supersuite. Porphyric rock of Castlereagh Hill redefined as Greenvale Porphyry. 1865- 1850 Ma. In the Western Zone of the Lamboo Complex.","Massive quartz-feldspar monzogranite porphyry; medium to coarse phenocrysts of quartz, K-feldspar, and plagioclase.",igneous felsic intrusive,,,Y,
Gregory Range Suite,73504,,,"Group, Suite",Formal,,,,,Neoarchean,,,,Neoarchean,2769,,,,,,64580,,,,,,In the Fortescue Basin.,"Metamorphosed and foliated granite, syenogranite, granitic augen gneiss, granophyre and granophyre gneiss",igneous felsic intrusive,high grade metamorphic rock,,Y,
Gregory Range Suite - granophyre 75309,75309,,,"Formation, beds",Unnamed,Gregory Range Suite,73504,,,Neoarchean,,,,Neoarchean,,,inferred,,,,63417,,,,,,"In the Fortescue Basin. Requested by Songfa Liu, for use on: 'Pre-Permian solid geology map of the Paterson area' Jun-2009.",Granophyre; locally includes gneissic granophyre and granophyric gneiss,igneous felsic intrusive,high grade metamorphic rock,,Y,
Gregory Well gneiss,33917,,,"Formation, beds",Informal,,,,,Archean,,,,Archean,3115,,,,,,22449,,,,,,Pilbara. Invalid name. Should not be formalized. Gregory Range Granite has priority.,,,,,N,
Grey Member,78696,,,"Member, phase",Reserved,Tamala Limestone,17719,,,Pleistocene,0.074,,isotopic U/Th/He,Pleistocene,0.125,,,,,,69788,,"Lipar, M. (La Trobe University)",17-Feb-14,,,"1:100k map sheet = 1936. Nearest Town = Grey.  Fine to coarse grained well sorted aeolianite, yellow coloured, well cemented. Mineralogy: carbonate, quartz, feldspar. Deposited in Marine Isotope Stage 5 (~125 ka). To be published = This year (2014) in Australian Journal of Earth Sciences.",Consists of an eolian calcarenite/calcrete-microbialite/paleosol cycle.,sedimentary,,,N,
Grierson Member,7823,,,"Member, phase",Formal,Birdrong Sandstone,1720,,,Aptian,,,,Neocomian,,,,,,,36890,,,,,,,,,,,N,
Grimpy Monzogranite,21913,,,"Formation, beds",Formal,,,Syenite Camp Suite,31897,Paleoproterozoic,1805,,,Paleoproterozoic,1835,,,,,,23601,,Griffin T.J. & Tyler I.M.,9-Dec-92,,,East Kimberley Region. Kimberley Province. Part of the Bow River batholith.  Age: 1835-1805Ma. In the Lamboo Complex.,"Medium- to fine-grained, even textured or weakly porphyritic biotite granodiorite and tonalite, with lesser biotite monzogranite.",igneous felsic intrusive,,,Y,
Grimwade Suite,40137,,,"Group, Suite",Formal,,,,,Statherian,1791,4,,Orosirian,1821,4,,,,,61405,,"Green, M.",20-Jan-04,,,"In the Arunta region - Aileron Province generally weakly to non-magnetic.  Also referred to as Grimwade suite granites. Appears to incorporate diorite and gabbro (highly magnetic, moderate gravity response) of former Borefield Road Suite from 2014.","Fine, medium and coarse-grained, granite, monzogranite; K-feldspar megacrysts, metasedimentary xenoliths.",igneous felsic intrusive,,,Y,I-type
Guildford Formation,7854,Guildford Clay,25033,"Formation, beds",Formal,,,,,Pleistocene,,,,Pleistocene,,,,,27,WA,30939,31896,,,,,Stated to be of the Kwinana Group (Abeysinghe 2003) but this is probably incorrect (per email R.Hocking 12 Feb 2008). Underlies the Pinjarra Plain of alluvial fans fronting the Darling Scarp and Darling Plateau. See also probable misspelling - Guilford Formation.,Alluvial sand and clay with shallow-marine and estuarine lenses and local basal conglomerate.,regolith,,,N,
Gumhole Formation,25034,Gumhole formation,7875,"Formation, beds",Formal,Fairfield Group,6483,,,Tournaisian,,,,Famennian,,,,,260,WA,46794,45153,"Druce E.C., Radke B.M.",,WA SNSC,13-May-76,See Defn in B200 (1979) also.,"Shallow marine colour laminated and cross bedded fossiliferous limestone interbedded with siltstone and shale, and minor sandstone and dolomite",sedimentary carbonate,argillaceous detrital sediment,,N,
Gunanya Sandstone,21919,,,"Formation, beds",Formal,Tarcunyah Group,31872,,,Neoproterozoic,,,inferred,Neoproterozoic,950,,"isotopic, U/Pb-Pb/Pb ion probe",,500,,43848,,Hickman A.,11-Jun-93,,,Distribution: Rudall & Gunanya 1:250 000 sheets. Of Yeneena Basin? Formerly assigned to Tarcunyah Group (Grey et al. 2005).,"Sandstone; minor conglomerate, siltstone and shale. Medium-to coarse-grained arkosic sandstone; interbeds of coarse-grained, pebbly feldspathic sandstone are common in the top 100m.",sedimentary siliciclastic,,,N,
Gunga Meta-argillite,7904,,,"Formation, beds",Informal,,,,,,,,,,,,,,,,34324,,,,,,Probably obsolete. Name last used 1981.,meta-argillite,,,,N,
Gurgadi Basalt,7922,,,"Formation, beds",Formal,Cassidy Group,27737,,,Stenian,1057,6,"inferred, overlying unit",Stenian,1065,5,"inferred, underlying unit",500,600,,30944,,,,,,"Bentley Basin (GSWA, 2011).","A succession of amygdaloidal basaltic lavas which contain numerous thin and laterally discontinuous layers, and small successions of volcaniclastic, cherty-epidotitic mudstones, siltstones, sandstones and conglomerates.",igneous mafic volcanic,,,N,
Gussys zoned pegmatite,25039,,,"Formation, beds",Informal,,,,,,,,,,,,,,,,34723,,,,,,,,,,,Y,
Gwalia Slate,7936,,,"Formation, beds",Formal,,,,,,,,,,,,,,,,41677,,,,,,,Slate,,,,N,
